iso3c,fundregion
AFG,SAS
ALB,EEU
DZA,MAF
ASM,SIS
AND,WEU
AGO,SSA
AIA,SIS
ATG,SIS
ARG,LAM
ARM,FSU
ABW,SIS
AUS,ANZ
AUT,WEU
AZE,FSU
BHS,SIS
BHR,MDE
BGD,SAS
BRB,SIS
BLR,FSU
BEL,WEU
BLZ,CAM
BEN,SSA
BMU,SIS
BTN,SAS
BOL,LAM
BIH,EEU
BWA,SSA
BVT,SIS
BRA,LAM
IOT,SIS
BRN,SEA
BGR,EEU
BFA,SSA
BDI,SSA
CPV,SSA
KHM,SEA
CMR,SSA
CAN,CAN
CYM,SIS
CAF,SSA
TCD,SSA
CHL,LAM
CHN,CHI
CXR,SIS
CCK,SIS
COL,LAM
COM,SIS
COG,SSA
COD,SSA
COK,SIS
CRI,CAM
CIV,SSA
HRV,EEU
CUB,SIS
CUW,SIS
CYP,WEU
CZE,EEU
DNK,WEU
DJI,SSA
DMA,SIS
DOM,SIS
ECU,LAM
EGY,MAF
SLV,CAM
GNQ,SSA
ERI,SSA
EST,FSU
ETH,SSA
FLK,WEU
FRO,WEU
FJI,SIS
FIN,WEU
FRA,WEU
GUF,LAM
PYF,SIS
ATF,SIS
GAB,SSA
GMB,SSA
GAZ,MDE
GEO,FSU
DEU,WEU
GHA,SSA
GIB,WEU
GRC,WEU
GRL,WEU
GRD,SIS
GLP,SIS
GUM,SIS
GTM,CAM
GGY,WEU
GIN,SSA
GNB,SSA
GUY,LAM
HTI,SIS
HMD,SIS
VAT,WEU
HND,CAM
HKG,CHI
HUN,EEU
ISL,WEU
IND,SAS
IDN,SEA
IRN,MDE
IRQ,MDE
IRL,WEU
IMN,WEU
ISR,MDE
ITA,WEU
JAM,SIS
JPN,JPK
JEY,WEU
JOR,MDE
KAZ,FSU
KEN,SSA
KIR,SIS
KWT,MDE
KGZ,FSU
LAO,SEA
LVA,FSU
LBN,MDE
LSO,SSA
LBR,SSA
LBY,MAF
LIE,WEU
LTU,FSU
LUX,WEU
MAC,CHI
MKD,EEU
MDG,SSA
MWI,SSA
MYS,SEA
MDV,SIS
MLI,SSA
MLT,WEU
MHL,SIS
MTQ,SIS
MRT,SSA
MUS,SIS
MYT,SIS
MEX,CAM
FSM,SIS
MDA,FSU
MCO,WEU
MNG,CHI
MNE,EEU
MSR,SIS
MAR,MAF
MOZ,SSA
MMR,SEA
NAM,SSA
NRU,SIS
NPL,SAS
NLD,WEU
ANT,SIS
NCL,SIS
NZL,ANZ
NIC,CAM
NER,SSA
NGA,SSA
NIU,SIS
NFK,SIS
PRK,CHI
MNP,SIS
NOR,WEU
OMN,MDE
PAK,SAS
PLW,SIS
PSE,MDE
PAN,CAM
PNG,SEA
PRY,LAM
PER,LAM
PHL,SEA
PCN,SIS
POL,EEU
PRT,WEU
PRI,CAM
QAT,MDE
REU,SIS
ROU,EEU
RUS,FSU
RWA,SSA
SHN,SIS
KNA,SIS
LCA,SIS
SPM,SIS
VCT,SIS
WSM,SIS
SMR,WEU
STP,SIS
SAU,MDE
SEN,SSA
SRB,EEU
SYC,SIS
SLE,SSA
SGP,SEA
SVK,EEU
SVN,EEU
SLB,SIS
SOM,SSA
ZAF,SSA
SGS,SIS
KOR,JPK
ESP,WEU
LKA,SAS
SDN,SSA
SSD,SSA
SUR,LAM
SJM,SIS
SWZ,SSA
SWE,WEU
CHE,WEU
SYR,MDE
TWN,SEA
TJK,FSU
TZA,SSA
THA,SEA
TLS,SEA
TGO,SSA
TKL,SIS
TON,SIS
TTO,SIS
TUN,MAF
TUR,MDE
TKM,FSU
TCA,SIS
TUV,SIS
UGA,SSA
UKR,FSU
ARE,MDE
GBR,WEU
UMI,SIS
USA,USA
URY,LAM
UZB,FSU
VUT,SIS
VEN,LAM
VNM,SEA
VGB,SIS
VIR,SIS
WLF,SIS
ESH,MAF
YEM,MDE
ZMB,SSA
ZWE,SSA
