isonum,fundregion
4,SAS
8,EEU
12,MAF
16,SIS
20,WEU
24,SSA
660,SIS
28,SIS
32,LAM
51,FSU
533,SIS
36,ANZ
40,WEU
31,FSU
44,SIS
48,MDE
50,SAS
52,SIS
112,FSU
56,WEU
84,CAM
204,SSA
60,SIS
64,SAS
68,LAM
70,EEU
72,SSA
74,SIS
76,LAM
86,SIS
96,SEA
100,EEU
854,SSA
108,SSA
132,SSA
116,SEA
120,SSA
124,CAN
136,SIS
140,SSA
148,SSA
152,LAM
156,CHI
162,SIS
166,SIS
170,LAM
174,SIS
178,SSA
180,SSA
184,SIS
188,CAM
384,SSA
191,EEU
192,SIS
531,SIS
196,WEU
203,EEU
208,WEU
262,SSA
212,SIS
214,SIS
218,LAM
818,MAF
222,CAM
226,SSA
232,SSA
233,FSU
231,SSA
238,WEU
234,WEU
242,SIS
246,WEU
250,WEU
254,LAM
258,SIS
260,SIS
266,SSA
270,SSA
274,MDE
268,FSU
276,WEU
288,SSA
292,WEU
300,WEU
304,WEU
308,SIS
312,SIS
316,SIS
320,CAM
831,WEU
324,SSA
624,SSA
328,LAM
332,SIS
334,SIS
336,WEU
340,CAM
344,CHI
348,EEU
352,WEU
356,SAS
360,SEA
364,MDE
368,MDE
372,WEU
833,WEU
376,MDE
380,WEU
388,SIS
392,JPK
832,WEU
400,MDE
398,FSU
404,SSA
296,SIS
414,MDE
417,FSU
418,SEA
428,FSU
422,MDE
426,SSA
430,SSA
434,MAF
438,WEU
440,FSU
442,WEU
446,CHI
807,EEU
450,SSA
454,SSA
458,SEA
462,SIS
466,SSA
470,WEU
584,SIS
474,SIS
478,SSA
480,SIS
175,SIS
484,CAM
583,SIS
498,FSU
492,WEU
496,CHI
499,EEU
500,SIS
504,MAF
508,SSA
104,SEA
516,SSA
520,SIS
524,SAS
528,WEU
530,SIS
540,SIS
554,ANZ
558,CAM
562,SSA
566,SSA
570,SIS
574,SIS
408,CHI
580,SIS
578,WEU
512,MDE
586,SAS
585,SIS
275,MDE
591,CAM
598,SEA
600,LAM
604,LAM
608,SEA
612,SIS
616,EEU
620,WEU
630,CAM
634,MDE
638,SIS
642,EEU
643,FSU
646,SSA
654,SIS
659,SIS
662,SIS
666,SIS
670,SIS
882,SIS
674,WEU
678,SIS
682,MDE
686,SSA
688,EEU
690,SIS
694,SSA
702,SEA
703,EEU
705,EEU
90,SIS
706,SSA
710,SSA
239,SIS
410,JPK
724,WEU
144,SAS
729,SSA
728,SSA
740,LAM
744,SIS
748,SSA
752,WEU
756,WEU
760,MDE
158,SEA
762,FSU
834,SSA
764,SEA
626,SEA
768,SSA
772,SIS
776,SIS
780,SIS
788,MAF
792,MDE
795,FSU
796,SIS
798,SIS
800,SSA
804,FSU
784,MDE
826,WEU
581,SIS
840,USA
858,LAM
860,FSU
548,SIS
862,LAM
704,SEA
92,SIS
850,SIS
876,SIS
732,MAF
887,MDE
894,SSA
716,SSA
